id,originalId,name,details,reviews
55770,4da9c90693a04642f06f3c74,TfL Bus C10,http://tour-pedia.org/api/getPlaceDetails?id=55770,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55770
55821,4dab1daa8154abafc2bb82b2,Chinese Roundabout,http://tour-pedia.org/api/getPlaceDetails?id=55821,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55821
55862,4dac5d654df01c19b1b28234,The Rosetta Stone,http://tour-pedia.org/api/getPlaceDetails?id=55862,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55862
55869,4dac9813f7b17c2b984fd135,TfL Bus R68,http://tour-pedia.org/api/getPlaceDetails?id=55869,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55869
55891,4dad7695043718a63e31dac4,Queen Elizabeth Hospital - Childrens Wing,http://tour-pedia.org/api/getPlaceDetails?id=55891,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55891
55892,4dad7cb6fa8cf64d8048658f,A&E Department,http://tour-pedia.org/api/getPlaceDetails?id=55892,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55892
55896,4dad95b9043718a63e34f82d,James Street,http://tour-pedia.org/api/getPlaceDetails?id=55896,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55896
55901,4dadd8274b2271d46baf1f6e,A205,http://tour-pedia.org/api/getPlaceDetails?id=55901,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55901
55902,4dadde184b229076785b850a,Garratt Lane,http://tour-pedia.org/api/getPlaceDetails?id=55902,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55902
55928,4daf18064b22907678754e03,Piccadilly Line Eastbound Train,http://tour-pedia.org/api/getPlaceDetails?id=55928,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55928
55959,4db0450e6e81a2637ed5c793,Wood Street Police Station,http://tour-pedia.org/api/getPlaceDetails?id=55959,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55959
55966,4db1165993a06157684e1e69,Twickenham Depot,http://tour-pedia.org/api/getPlaceDetails?id=55966,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55966
